,major, class
2830,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 374
2831,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 402
2832,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 407
2833,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 419
2834,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 419
2835,Dairy Science- B.S. - pre-veterinary medicine option,FS HN 420
2836,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 420
2837,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 475
2838,Dairy Science- B.S. - pre-veterinary medicine option,VDPAM 487
2839,Dairy Science- B.S. - pre-veterinary medicine option,AN S 101
2840,Dairy Science- B.S. - pre-veterinary medicine option,AN S 110
2841,Dairy Science- B.S. - pre-veterinary medicine option,AN S 114
2842,Dairy Science- B.S. - pre-veterinary medicine option,AN S 210
2843,Dairy Science- B.S. - pre-veterinary medicine option,AN S 211
2844,Dairy Science- B.S. - pre-veterinary medicine option,AN S 214
2845,Dairy Science- B.S. - pre-veterinary medicine option,AN S 235
2846,Dairy Science- B.S. - pre-veterinary medicine option,AN S 319
2847,Dairy Science- B.S. - pre-veterinary medicine option,AN S 320
2848,Dairy Science- B.S. - pre-veterinary medicine option,AN S 331
2849,Dairy Science- B.S. - pre-veterinary medicine option,AN S 337
2850,Dairy Science- B.S. - pre-veterinary medicine option,AN S 352
2851,Dairy Science- B.S. - pre-veterinary medicine option,AN S 411
2852,Dairy Science- B.S. - pre-veterinary medicine option,AN S 434
2853,Dairy Science- B.S. - pre-veterinary medicine option,AN S 435
2854,Dairy Science- B.S. - pre-veterinary medicine option,CHEM 177
2855,Dairy Science- B.S. - pre-veterinary medicine option,CHEM 178
2856,Dairy Science- B.S. - pre-veterinary medicine option,CHEM 331
2857,Dairy Science- B.S. - pre-veterinary medicine option,CHEM 332
2858,Dairy Science- B.S. - pre-veterinary medicine option,BBMB 301
2859,Dairy Science- B.S. - pre-veterinary medicine option,PHYS 111
2860,Dairy Science- B.S. - pre-veterinary medicine option,AGRON 334
2861,Dairy Science- B.S. - pre-veterinary medicine option,AN S 332
2862,Dairy Science- B.S. - pre-veterinary medicine option,AN S 336
2863,Dairy Science- B.S. - pre-veterinary medicine option,AN S 345
2864,Dairy Science- B.S. - pre-veterinary medicine option,AN S 360
2865,Dairy Science- B.S. - pre-veterinary medicine option,AN S 415
2866,Dairy Science- B.S. - pre-veterinary medicine option,AN S 419
2867,Dairy Science- B.S. - pre-veterinary medicine option,AN S 424
2868,Dairy Science- B.S. - pre-veterinary medicine option,AN S 425
2869,Dairy Science- B.S. - pre-veterinary medicine option,AN S 426
2870,Dairy Science- B.S. - pre-veterinary medicine option,AN S 429
2871,Dairy Science- B.S. - pre-veterinary medicine option,AN S 460
2872,Dairy Science- B.S. - pre-veterinary medicine option,ECON 332
2873,Dairy Science- B.S. - pre-veterinary medicine option,ECON 336
2874,Dairy Science- B.S. - pre-veterinary medicine option,FS HN 308
2875,Dairy Science- B.S. - pre-veterinary medicine option,FS HN 403
2876,Dairy Science- B.S. - pre-veterinary medicine option,FS HN 405
2877,Dairy Science- B.S. - pre-veterinary medicine option,FS HN 410
2878,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 310
2879,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 353
2880,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 374
2881,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 402
2882,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 407
2883,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 419
2884,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 421
2885,Dairy Science- B.S. - pre-veterinary medicine option,AN S 110
2886,Dairy Science- B.S. - pre-veterinary medicine option,AN S 114
2887,Dairy Science- B.S. - pre-veterinary medicine option,AN S 101
2888,Dairy Science- B.S. - pre-veterinary medicine option,BIOL 211
2889,Dairy Science- B.S. - pre-veterinary medicine option,ENGL 150
2890,Dairy Science- B.S. - pre-veterinary medicine option,LIB 160
2891,Dairy Science- B.S. - pre-veterinary medicine option,AN S 211
2892,Dairy Science- B.S. - pre-veterinary medicine option,AN S 210
2893,Dairy Science- B.S. - pre-veterinary medicine option,AN S 235
2894,Dairy Science- B.S. - pre-veterinary medicine option,AN S 270 
2895,Dairy Science- B.S. - pre-veterinary medicine option,BIOL 212
2896,Dairy Science- B.S. - pre-veterinary medicine option,AN S 214
2897,Dairy Science- B.S. - pre-veterinary medicine option,BBMB 221
2898,Dairy Science- B.S. - pre-veterinary medicine option,ENGL 250
2899,Dairy Science- B.S. - pre-veterinary medicine option,ECON 101
2900,Dairy Science- B.S. - pre-veterinary medicine option,AN S 319
2901,Dairy Science- B.S. - pre-veterinary medicine option,AN S 320
2902,Dairy Science- B.S. - pre-veterinary medicine option,AN S 331
2903,Dairy Science- B.S. - pre-veterinary medicine option,AN S 352
2904,Dairy Science- B.S. - pre-veterinary medicine option,AN S 337
2905,Dairy Science- B.S. - pre-veterinary medicine option,AN S 411
2906,Dairy Science- B.S. - pre-veterinary medicine option,AN S 435
2907,Dairy Science- B.S. - pre-veterinary medicine option,AN S 434
2908,Dairy Science- B.S. - pre-veterinary medicine option,AN S 110
2909,Dairy Science- B.S. - pre-veterinary medicine option,AN S 114
2910,Dairy Science- B.S. - pre-veterinary medicine option,AN S 101
2911,Dairy Science- B.S. - pre-veterinary medicine option,CHEM 177
2912,Dairy Science- B.S. - pre-veterinary medicine option,BIOL 211
2913,Dairy Science- B.S. - pre-veterinary medicine option,ENGL 150
2914,Dairy Science- B.S. - pre-veterinary medicine option,LIB 160
2915,Dairy Science- B.S. - pre-veterinary medicine option,AN S 211
2916,Dairy Science- B.S. - pre-veterinary medicine option,AN S 210
2917,Dairy Science- B.S. - pre-veterinary medicine option,AN S 235
2918,Dairy Science- B.S. - pre-veterinary medicine option,AN S 270 
2919,Dairy Science- B.S. - pre-veterinary medicine option,BIOL 212
2920,Dairy Science- B.S. - pre-veterinary medicine option,AN S 214
2921,Dairy Science- B.S. - pre-veterinary medicine option,CHEM 178
2922,Dairy Science- B.S. - pre-veterinary medicine option,CHEM 331
2923,Dairy Science- B.S. - pre-veterinary medicine option,ECON 101
2924,Dairy Science- B.S. - pre-veterinary medicine option,AN S 319
2925,Dairy Science- B.S. - pre-veterinary medicine option,AN S 320
2926,Dairy Science- B.S. - pre-veterinary medicine option,AN S 331
2927,Dairy Science- B.S. - pre-veterinary medicine option,AN S 352
2928,Dairy Science- B.S. - pre-veterinary medicine option,AN S 337
2929,Dairy Science- B.S. - pre-veterinary medicine option,CHEM 332
2930,Dairy Science- B.S. - pre-veterinary medicine option,BBMB 301
2931,Dairy Science- B.S. - pre-veterinary medicine option,AN S 411
2932,Dairy Science- B.S. - pre-veterinary medicine option,AN S 435
2933,Dairy Science- B.S. - pre-veterinary medicine option,AN S 434
2934,Dairy Science- B.S. - pre-veterinary medicine option,PHYS 111
2935,Diet and Exercise- B.S./M.S.,ENGL 150
2936,Diet and Exercise- B.S./M.S.,ENGL 250
2937,Diet and Exercise- B.S./M.S.,LIB 160
2938,Diet and Exercise- B.S./M.S.,SP CM 212
2939,Diet and Exercise- B.S./M.S.,PSYCH 101
2940,Diet and Exercise- B.S./M.S.,PSYCH 230
2941,Diet and Exercise- B.S./M.S.,MATH 140
2942,Diet and Exercise- B.S./M.S.,MATH 143
2943,Diet and Exercise- B.S./M.S.,MATH 160
2944,Diet and Exercise- B.S./M.S.,MATH 165
2945,Diet and Exercise- B.S./M.S.,MATH 181
2946,Diet and Exercise- B.S./M.S.,STAT 101
2947,Diet and Exercise- B.S./M.S.,STAT 104
2948,Diet and Exercise- B.S./M.S.,STAT 226
2949,Diet and Exercise- B.S./M.S.,CHEM 177
2950,Diet and Exercise- B.S./M.S.,CHEM 231
2951,Diet and Exercise- B.S./M.S.,PHYS 115
2952,Diet and Exercise- B.S./M.S.,BBMB 301
2953,Diet and Exercise- B.S./M.S.,BIOL 211
2954,Diet and Exercise- B.S./M.S.,BIOL 212
2955,Diet and Exercise- B.S./M.S.,BIOL 255
2956,Diet and Exercise- B.S./M.S.,BIOL 256
2957,Diet and Exercise- B.S./M.S.,MICRO 201
2958,Diet and Exercise- B.S./M.S.,FS HN 110
2959,Diet and Exercise- B.S./M.S.,KIN 252
2960,Diet and Exercise- B.S./M.S.,FS HN 167
2961,Diet and Exercise- B.S./M.S.,FS HN 214
2962,Diet and Exercise- B.S./M.S.,FS HN 215
2963,Diet and Exercise- B.S./M.S.,FS HN 265
2964,Diet and Exercise- B.S./M.S.,FS HN 340
2965,Diet and Exercise- B.S./M.S.,FS HN 360
2966,Diet and Exercise- B.S./M.S.,H S 110
2967,Diet and Exercise- B.S./M.S.,KIN 258
2968,Diet and Exercise- B.S./M.S.,H S 380
2969,Diet and Exercise- B.S./M.S.,A TR 220
2970,Diet and Exercise- B.S./M.S.,KIN 259
2971,Diet and Exercise- B.S./M.S.,KIN 345
2972,Diet and Exercise- B.S./M.S.,KIN 358
2973,Diet and Exercise- B.S./M.S.,KIN 355
2974,Diet and Exercise- B.S./M.S.,KIN 360
2975,Diet and Exercise- B.S./M.S.,KIN 366
2976,Diet and Exercise- B.S./M.S.,KIN 372
2977,Diet and Exercise- B.S./M.S.,KIN 462
2978,Diet and Exercise- B.S./M.S.,FS HN 361
2979,Diet and Exercise- B.S./M.S.,FS HN 367
2980,Diet and Exercise- B.S./M.S.,FS HN 403
2981,Diet and Exercise- B.S./M.S.,FS HN 411
2982,Diet and Exercise- B.S./M.S.,FS HN 466
2983,Diet and Exercise- B.S./M.S.,HSP M 380
2984,Diet and Exercise- B.S./M.S.,HSP M 392
2985,Diet and Exercise- B.S./M.S.,NUTRS 563
2986,Diet and Exercise- B.S./M.S.,NUTRS 564
2987,Diet and Exercise- B.S./M.S.,FS HN 581
2988,Diet and Exercise- B.S./M.S.,FS HN 590C
2989,Diet and Exercise- B.S./M.S.,FS HN 681
2990,Diet and Exercise- B.S./M.S.,FS HN 682
2991,Diet and Exercise- B.S./M.S.,NUTRS 501
2992,Diet and Exercise- B.S./M.S.,NUTRS 561
2993,Diet and Exercise- B.S./M.S.,NUTRS 563
2994,Diet and Exercise- B.S./M.S.,NUTRS 564
2995,Diet and Exercise- B.S./M.S.,KIN 501
2996,Diet and Exercise- B.S./M.S.,KIN 505
2997,Diet and Exercise- B.S./M.S.,KIN 550
2998,Diet and Exercise- B.S./M.S.,KIN 567
2999,Diet and Exercise- B.S./M.S.,KIN 570
3000,Diet and Exercise- B.S./M.S.,KIN 551
3001,Diet and Exercise- B.S./M.S.,KIN 558
3002,Diet and Exercise- B.S./M.S.,FS HN 599
3003,Diet and Exercise- B.S./M.S.,KIN 599
3004,Diet and Exercise- B.S./M.S.,KIN 699
3005,Diet and Exercise- B.S./M.S.,NUTRS 699
3006,Diet and Exercise- B.S./M.S.,STAT 587
3007,Diet and Exercise- B.S./M.S.,FS HN 167
3008,Diet and Exercise- B.S./M.S.,CHEM 178 
3009,Diet and Exercise- B.S./M.S.,BIOL 211
3010,Diet and Exercise- B.S./M.S.,PSYCH 101
3011,Diet and Exercise- B.S./M.S.,ENGL 150
3012,Diet and Exercise- B.S./M.S.,H S 110
3013,Diet and Exercise- B.S./M.S.,LIB 160
3014,Diet and Exercise- B.S./M.S.,CHEM 231
3015,Diet and Exercise- B.S./M.S.,FS HN 265
3016,Diet and Exercise- B.S./M.S.,A TR 220 
3017,Diet and Exercise- B.S./M.S.,BIOL 255
3018,Diet and Exercise- B.S./M.S.,BIOL 256
3019,Diet and Exercise- B.S./M.S.,PSYCH 230
3020,Diet and Exercise- B.S./M.S.,FS HN 214
3021,Diet and Exercise- B.S./M.S.,ENGL 250
3022,Diet and Exercise- B.S./M.S.,MICRO 201
3023,Diet and Exercise- B.S./M.S.,FS HN 340
3024,Diet and Exercise- B.S./M.S.,FS HN 360
3025,Diet and Exercise- B.S./M.S.,FS HN 361
3026,Diet and Exercise- B.S./M.S.,STAT 587
3027,Diet and Exercise- B.S./M.S.,KIN 258
3028,Diet and Exercise- B.S./M.S.,FS HN 367
3029,Diet and Exercise- B.S./M.S.,PHYS 115 
3030,Diet and Exercise- B.S./M.S.,H S 380
3031,Diet and Exercise- B.S./M.S.,SP CM 212
3032,Diet and Exercise- B.S./M.S.,HSP M 380
3033,Diet and Exercise- B.S./M.S.,KIN 259
3034,Diet and Exercise- B.S./M.S.,KIN 358
3035,Diet and Exercise- B.S./M.S.,KIN 505
3036,Diet and Exercise- B.S./M.S.,KIN 462
3037,Diet and Exercise- B.S./M.S.,KIN 511 
3038,Diet and Exercise- B.S./M.S.,KIN 501
3039,Diet and Exercise- B.S./M.S.,FS HN 403
3040,Diet and Exercise- B.S./M.S.,KIN 558 
3041,Diet and Exercise- B.S./M.S.,KIN 551
3042,Diet and Exercise- B.S./M.S.,NUTRS 561
3043,Diet and Exercise- B.S./M.S.,NUTRS 564
3044,Diet and Exercise- B.S./M.S.,NUTRS 563 
3045,Diet and Exercise- B.S./M.S.,FS HN 581 / FS HN 682 
3046,Diet and Exercise- B.S./M.S.,FS HN 682 
3047,Diet and Exercise- B.S./M.S.,FS HN 411
3048,Diet and Exercise- B.S./M.S.,FS HN 466
3049,Diet and Exercise- B.S./M.S.,FS HN 590C 
3050,Diet and Exercise- B.S./M.S.,HSP M 392
3051,Diet and Exercise- B.S./M.S.,NUTRS 501
3052,Diet and Exercise- B.S./M.S.,KIN 345
3053,Diet and Exercise- B.S./M.S.,FS HN 682 
3054,Diet and Exercise- B.S./M.S.,FS HN 681
3055,Dietetics- B.S.,ENGL 150
3056,Dietetics- B.S.,ENGL 250
3057,Dietetics- B.S.,LIB 160
3058,Dietetics- B.S.,SP CM 212
3059,Dietetics- B.S.,PSYCH 101
3060,Dietetics- B.S.,FS HN 342
3061,Dietetics- B.S.,ENV S 120
3062,Dietetics- B.S.,ENV S 201
3063,Dietetics- B.S.,MATH 140
3064,Dietetics- B.S.,MATH 143
3065,Dietetics- B.S.,MATH 160
3066,Dietetics- B.S.,MATH 165
3067,Dietetics- B.S.,MATH 181
3068,Dietetics- B.S.,STAT 101
3069,Dietetics- B.S.,STAT 104
3070,Dietetics- B.S.,CHEM 177
3071,Dietetics- B.S.,CHEM 231
3072,Dietetics- B.S.,BBMB 301
3073,Dietetics- B.S.,BIOL 211
3074,Dietetics- B.S.,BIOL 212
3075,Dietetics- B.S.,BIOL 255
3076,Dietetics- B.S.,BIOL 335
3077,Dietetics- B.S.,MICRO 201
3078,Dietetics- B.S.,FS HN 110
3079,Dietetics- B.S.,FS HN 167
3080,Dietetics- B.S.,FS HN 203
3081,Dietetics- B.S.,FS HN 214
3082,Dietetics- B.S.,FS HN 215
3083,Dietetics- B.S.,FS HN 265
3084,Dietetics- B.S.,FS HN 340
3085,Dietetics- B.S.,FS HN 360
3086,Dietetics- B.S.,FS HN 361
3087,Dietetics- B.S.,FS HN 362
3088,Dietetics- B.S.,FS HN 367
3089,Dietetics- B.S.,FS HN 403
3090,Dietetics- B.S.,FS HN 411
3091,Dietetics- B.S.,FS HN 461
3092,Dietetics- B.S.,FS HN 463
3093,Dietetics- B.S.,FS HN 464
3094,Dietetics- B.S.,FS HN 466
3095,Dietetics- B.S.,FS HN 480
3096,Dietetics- B.S.,HSP M 380
3097,Dietetics- B.S.,HSP M 391
3098,Dietetics- B.S.,HSP M 392
3099,Dietetics- B.S.,FS HN 110
3100,Dietetics- B.S.,FS HN 167
3101,Dietetics- B.S.,CHEM 178 
3102,Dietetics- B.S.,BIOL 211
3103,Dietetics- B.S.,PSYCH 101
3104,Dietetics- B.S.,ENGL 150
3105,Dietetics- B.S.,LIB 160
3106,Dietetics- B.S.,CHEM 231
3107,Dietetics- B.S.,FS HN 265
3108,Dietetics- B.S.,BIOL 255
3109,Dietetics- B.S.,ENGL 250
3110,Dietetics- B.S.,FS HN 203
3111,Dietetics- B.S.,FS HN 340
3112,Dietetics- B.S.,FS HN 362
3113,Dietetics- B.S.,FS HN 360
3114,Dietetics- B.S.,FS HN 367
3115,Dietetics- B.S.,FS HN 214
3116,Dietetics- B.S.,HSP M 380
3117,Dietetics- B.S.,SP CM 212
3118,Dietetics- B.S.,FS HN 342
3119,Dietetics- B.S.,FS HN 461
3120,Dietetics- B.S.,FS HN 464
3121,Dietetics- B.S.,FS HN 463
3122,Dietetics- B.S.,HSP M 392
3123,Dietetics- B.S.,HSP M 391
3124,Dietetics- B.S.,FS HN 403
3125,Dietetics- B.S.,FS HN 411
3126,Dietetics- B.S.,FS HN 480
3127,Dietetics- B.S.,FS HN 466
3128,Environmental Science- B.S.,MATH 160
3129,Environmental Science- B.S.,MATH 165
3130,Environmental Science- B.S.,MATH 181
3131,Environmental Science- B.S.,STAT 101
3132,Environmental Science- B.S.,STAT 104
3133,Environmental Science- B.S.,BIOL 101
3134,Environmental Science- B.S.,BBMB 221
3135,Environmental Science- B.S.,AGRON 259
3136,Environmental Science- B.S.,PHYS 111
3137,Environmental Science- B.S.,PHYS 115
3138,Environmental Science- B.S.,PHYS 221
3139,Environmental Science- B.S.,AGRON 182
3140,Environmental Science- B.S.,GEOL 100
3141,Environmental Science- B.S.,BIOL 212
3142,Environmental Science- B.S.,ENGL 150
3143,Environmental Science- B.S.,ENGL 250
3144,Environmental Science- B.S.,LIB 160
3145,Environmental Science- B.S.,SP CM 212
3146,Environmental Science- B.S.,ENGL 150
3147,Environmental Science- B.S.,BIOL 211 
3148,Environmental Science- B.S.,CHEM 178
3149,Environmental Science- B.S.,CHEM 177
3150,Environmental Science- B.S.,LIB 160
3151,Environmental Science- B.S.,PHYS 115
3152,Environmental Science- B.S.,ENGL 250
3153,Food Science- B.S. - Food Science and industry option,ENGL 150
3154,Food Science- B.S. - Food Science and industry option,ENGL 250
3155,Food Science- B.S. - Food Science and industry option,LIB 160
3156,Food Science- B.S. - Food Science and industry option,SP CM 212
3157,Food Science- B.S. - Food Science and industry option,ECON 101
3158,Food Science- B.S. - Food Science and industry option,FS HN 342
3159,Food Science- B.S. - Food Science and industry option,ENV S 120
3160,Food Science- B.S. - Food Science and industry option,ENV S 201
3161,Food Science- B.S. - Food Science and industry option,MATH 165
3162,Food Science- B.S. - Food Science and industry option,MATH 166
3163,Food Science- B.S. - Food Science and industry option,STAT 101
3164,Food Science- B.S. - Food Science and industry option,STAT 104
3165,Food Science- B.S. - Food Science and industry option,STAT 105
3166,Food Science- B.S. - Food Science and industry option,MATH 160
3167,Food Science- B.S. - Food Science and industry option,MATH 165
3168,Food Science- B.S. - Food Science and industry option,MATH 181
3169,Food Science- B.S. - Food Science and industry option,STAT 101
3170,Food Science- B.S. - Food Science and industry option,STAT 104
3171,Food Science- B.S. - Food Science and industry option,STAT 105
3172,Food Science- B.S. - Food Science and industry option,CHEM 177
3173,Food Science- B.S. - Food Science and industry option,CHEM 178
3174,Food Science- B.S. - Food Science and industry option,CHEM 331
3175,Food Science- B.S. - Food Science and industry option,CHEM 332
3176,Food Science- B.S. - Food Science and industry option,PHYS 111
